15;;"QUEM VOCÊ CONSIDERA A MAIOR LIDERANÇA DO BAIRRO
QUE MORA? ESPONTÂNEA";392;100.00%
;15.1.1;JULIA HORTA;1;0.26%
;15.1.2;BONITO DE ARAÚJO;1;0.26%
;15.1.3;ACIANE;1;0.26%
;15.1.4;TÃOZINHO;5;1.28%
;15.1.5;DIEGO FERRAMENTA;7;1.79%
;15.1.6;FABRICIO;2;0.51%
;15.1.7;PADRE RAFAEL;1;0.26%
;15.1.8;JOSE HILARIO;1;0.26%
;15.1.9;MAGÃO;1;0.26%
;15.1.10;TOQUIM (BAIANO);1;0.26%
;15.1.11;NUCÃO;3;0.77%
;15.1.12;MORIÁ;2;0.51%
;15.1.13;HERMOGINES;1;0.26%
;15.1.14;PADRE FLAVIO;1;0.26%
;15.1.15;TUCA;1;0.26%
;15.1.16;LIA;1;0.26%
;15.1.17;CRISTIAN;1;0.26%
;15.1.18;FUBÁ;1;0.26%
;15.1.19;SANDRA BUENO;2;0.51%
;15.1.20;MIGUEL;1;0.26%
;15.1.21;REGI;1;0.26%
;15.1.22;RUI FELIPE;1;0.26%
;15.1.23;JADER;1;0.26%
;15.1.24;AGOSTINHO;1;0.26%
;15.1.25;PITA;1;0.26%
;15.1.26;VIVIANE;1;0.26%
;15.1.27;MASCOS ELIAS;1;0.26%
;15.1.28;MARIA DE GRAÇAS;1;0.26%
;15.1.29;CIDA;1;0.26%
;15.1.30;DONA FIA;1;0.26%
;15.1.31;SR. RAIMUNDO;1;0.26%
;15.1.32;BRUNA;1;0.26%
;15.1.33;ALFREDO;1;0.26%
;15.1.34;DARCI;1;0.26%
;15.2;NÃO SABE/N. RESP.;343;87.50%
