SANTA MARIA;;;;
;;AVALIAÇÃO MUNICIPAL;;
6;;"COMO VOCÊ AVALIA A ATUAL ADMINISTRAÇÃO DO MUNICIPIO?
ESTIMULADA";42;100.00%
;6.1;ÓTIMA;1;2.38%
;6.2;BOA;12;28.57%
;6.3;REGULAR;15;35.71%
;6.4;RUIM;7;16.67%
;6.5;PÉSSIMA;7;16.67%
;6.6;NR/NS;0;0.00%
7;;"ENTRE AS SECRETARIAS OU ÁREA DO
MUNICIPIO, QUAL VOCE CONSIDERA MAIS COMPETENTE? ESTIMULADA";42;100.00%
;7.1;ASSISTÊNCIA SOCIAL;1;2.38%
;7.2;SAÚDE;7;16.67%
;7.3;EDUCAÇÃO;3;7.14%
;7.4;ESPORTE E LAZER;1;2.38%
;7.5;OBRAS;6;14.29%
;7.6;TRANSPORTE;2;4.76%
;7.7;CULTURA E EVENTOS;0;0.00%
;7.8;ADMINISTRAÇÃO E GOVERNO;2;4.76%
;7.9;MEIO AMBIENTE;1;2.38%
;7.1;NS/NR;5;11.90%
;7.11;NENHUM;14;33.33%
8;;"ENTRE AS SECRETARIAS DO MUNICIPIO, QUAL VOCE CONSIDERA MAIS COMPETENTE?
ESTIMULADA";42;100.00%
;8.1;ASSISTÊNCIA SOCIAL;2;4.76%
;8.2;SAÚDE;11;26.19%
;8.3;EDUCAÇÃO;5;11.90%
;8.4;ESPORTE E LAZER;7;16.67%
;8.5;OBRAS;3;7.14%
;8.6;TRANSPORTE;2;4.76%
;8.7;CULTURA E EVENTOS;2;4.76%
;8.8;ADMINISTRAÇÃO E GOVERNO;2;4.76%
;8.9;MEIO AMBIENTE;1;2.38%
;8.1;NS/NR;3;7.14%
;8.11;NENHUM;4;9.52%
9;;NA SUA OPINIÃO  VOCÊ PODERIA CITA 3 PRINCIPAIS PROBLEMA DO BAIRRO QUE VOCÊ MORA HOJE: ESTIMULADA;91;100.00%
;9.1;"SAÚDE  (Exames,  remédios,  atendimento  ruim,  falta
consultas)";15;16.48%
;9.2;LIMPEZA URBANA E COLETA DE LIXO;21;23.08%
;9.3;"ASSISTÊNCIA SOCIAL ( falta de atendimento ao
idoso, deficiente, criança e adolescente).";4;4.40%
;9.4;"BURACO E FALTA DE MANUTENÇÃO NAS ESTRADAS
RURAIS E VIAS URBANAS";11;12.09%
;9.5;ADMINISTRAÇÃO RUIM;1;1.10%
;9.6;SANEAMENTO BÁSICO;5;5.49%
;9.7;"FALTA  DE  ÁREAS  E  OPORTUNIDADES  DE  LAZER  E
ESPORTES";9;9.89%
;9.8;"DESEMPREGO - FALTA DE OPORTUNIDADES DE
TRABALHO";15;16.48%
;9.9;TRANSPORTE COLETIVO PRECÁRIO;4;4.40%
;9.1;VIOLÊNCIA(Falta de segurança pública);2;2.20%
;9.11;NFRAESTRUTURA PRECÁRIA;2;2.20%
;9.12;EDUCAÇÃO RUIM;1;1.10%
;9.13;NS/NR;0;0.00%
;9.14;NENHUM;1;1.10%
;9.15;OUTROS;;0.00%
;09.15.1;TODAS;1;1.10%
10;;O QUE VOCÊ GOSTARIA QUE MELHORE EM SEU BAIRRO?;42;100.00%
;10.1.1;ILUMINAÇÃO;1;2.38%
;10.1.2;LIMPEZA URBANA;13;30.95%
;10.1.3;SAÚDE;5;11.90%
;10.1.4;TUDO;3;7.14%
