BAIRRO DAS GRAÇAS;;;;
;;;AVALIAÇÃO MUNICIPAL;
6;;COMO VOCÊ AVALIA A ATUAL ADMINISTRAÇÃO DO MUNICIPIO? ESTIMULADA;32;100.00%
;6.1;ÓTIMA;2;6.25%
;6.2;BOA;3;9.38%
;6.3;REGULAR;16;50.00%
;6.4;RUIM;3;9.38%
;6.5;PÉSSIMA;4;12.50%
;6.6;NR/NS;4;12.50%
7;;"ENTRE AS SECRETARIAS OU ÁREA DO MUNICIPIO, QUAL VOCE CONSIDERA MAIS
COMPETENTE? ESTIMULADA";32;100.00%
;7.1;ASSISTÊNCIA SOCIAL;4;12.50%
;7.2;SAÚDE;5;15.63%
;7.3;EDUCAÇÃO;3;9.38%
;7.4;ESPORTE E LAZER;0;0.00%
;7.5;OBRAS;3;9.38%
;7.6;TRANSPORTE;0;0.00%
;7.7;CULTURA E EVENTOS;0;0.00%
;7.8;ADMINISTRAÇÃO E GOVERNO;0;0.00%
;7.9;MEIO AMBIENTE;0;0.00%
;7.1;NS/NR;6;18.75%
;7.11;NENHUM;11;34.38%
8;;"ENTRE AS SECRETARIAS DO MUNICIPIO, QUAL VOCE CONSIDERA MAIS COMPETENTE?
ESTIMULADA";32;100.00%
;8.1;ASSISTÊNCIA SOCIAL;2;6.25%
;8.2;SAÚDE;11;34.38%
;8.3;EDUCAÇÃO;2;6.25%
;8.4;ESPORTE E LAZER;3;9.38%
;8.5;OBRAS;1;3.13%
;8.6;TRANSPORTE;0;0.00%
;8.7;CULTURA E EVENTOS;0;0.00%
;8.8;ADMINISTRAÇÃO E GOVERNO;0;0.00%
;8.9;MEIO AMBIENTE;0;0.00%
;8.1;NS/NR;5;15.63%
;8.11;NENHUM;8;25.00%
9;;NA SUA OPINIÃO  VOCÊ PODERIA CITA 3 PRINCIPAIS PROBLEMA DO BAIRRO QUE VOCÊ MORA HOJE: ESTIMULADA;76;100.00%
;9.1;"SAÚDE  (Exames,  remédios,  atendimento  ruim,  falta
consultas)";14;18.42%
;9.2;LIMPEZA URBANA E COLETA DE LIXO;5;6.58%
;9.3;"ASSISTÊNCIA SOCIAL ( falta de atendimento ao idoso,
deficiente, criança e adolescente).";7;9.21%
;9.4;BURACO  E  FALTA  DE  MANUTENÇÃO  NAS  ESTRADAS RURAIS E VIAS URBANAS;10;13.16%
;9.5;ADMINISTRAÇÃO RUIM;2;2.63%
;9.6;SANEAMENTO BÁSICO;1;1.32%
;9.7;"FALTA   DE   ÁREAS   E   OPORTUNIDADES   DE   LAZER   E
ESPORTES";5;6.58%
;9.8;DESEMPREGO - FALTA DE OPORTUNIDADES DE TRABALHO;10;13.16%
;9.9;TRANSPORTE COLETIVO PRECÁRIO;2;2.63%
;9.1;VIOLÊNCIA(Falta de segurança pública);1;1.32%
;9.11;NFRAESTRUTURA PRECÁRIA;4;5.26%
;9.12;EDUCAÇÃO RUIM;3;3.95%
;9.13;NS/NR;8;10.53%
;9.14;NENHUM;4;5.26%
;9.15;OUTROS;0;0.00%
10;;O QUE VOCÊ GOSTARIA QUE MELHORE EM SEU BAIRRO?;32;100.00%
;10.1.1;ILUMINAÇÃO;1;3.13%
;10.1.2;LIMPEZA URBANA;3;9.38%
;10.1.3;CALÇAMENTO;2;6.25%
;10.1.4;ÁREA DE LAZER;1;3.13%
;10.1.5;POSTO DE SAÚDE;3;9.38%
;10.1.6;ESTRADA;7;21.88%
;10.1.7;INFRAESTRUTURA;1;3.13%
;10.2;NS/NR;14;43.75%
11;;SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A PREFEITO OU PREFEITA? ESPONTÂNIA;32;100.00%
;11.1;LAURA ARAUJO;1;3.13%
;11.2;TXAI (ORABOLAS);4;12.50%
;11.3;MARTA GERVÁSIO;1;3.13%
;11.4;TÃOZINHO;2;6.25%
;11.5;QUERALA DA CENIBRA;1;3.13%
;11.6;ARTUR MOREIRA;1;3.13%
;11.7;SAULO DA PADARIA;1;3.13%
;11.8;NÃO SABE / N. RESP.;21;65.63%
12;;SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A PREFEITO OU PREFEITA DO MUNICÍPIO? ESTIMULADA;32;100.00%
;12.1;LAURA ARAUJO;1;3.13%
;12.2;TXAI (ORABOLAS);5;15.63%
;12.3;JULIA HORTA;3;9.38%
;12.4;MARTA GERVÁSIO;1;3.13%
;12.5;TÃOZINHO;2;6.25%
;12.6;QUERALA DA CENIBRA;1;3.13%
;12.7;MORIÁ;1;3.13%
;12.8;ANTÔNIO PIMENTEL;0;0.00%
;12.9;ARTUR MOREIRA;2;6.25%
;12.1;NÃO SABE/N. RESP.;16;50.00%
